old_file_name,new_file_name
GRAM065_དམ་ཚིག་དང་སྡོམ་པའི་རྣམ་གཞག་ཟབ་དོན་བདུད་རྩིའི་སྙིང་པོ།.rtf,LM4564e1.rtf
GRAM074_མདོ་རྩ་བའི་སྤྱི་དོན་ཚིག་དོན་རབ་གསལ།.rtf,LM08cb07.rtf
GRAM071_སོག་པོ་བཀའ་བཅུ་པ།-གོ་བོ་སངས་རྒྱས་རྒྱལ་མཚན།-དྲུང་ཆེན་ཀུན་སྤངས་པ་རྣམས་ལ་གདམས་པ་རེ་.rtf,LMcd7718.rtf
GRAM049_བདེ་མཆོག་ཆོས་འབྱུང་བརྒྱུད་པའི་རྣམ་ཐར་དང་བཅས་པ.rtf,LMcebee2.rtf
GRAM012_ཆོས་འདུལ་བ་རྒྱ་མཚོའི་སྙིང་པོ།.rtf,LM5927a6.rtf
GRAM018_ལྟ་བ་ངན་སེལ།.rtf,LM0bc2c6.rtf
GRAM064_དཔལ་ཀྱཻ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རྒྱ་ཆེར་བཤད་པ་བསྐྱེད་རིམ་གནད་ཀྱི་ཟླ་ཟེར་ལ་རྩོད་པ་སྤ.rtf,LM7a92c7.rtf
GRAM045_རྡོ་རྗེ་ཐེག་པ་ལ་ལོག་སྨྲ་ཚར་གཅོད་པ་རིགས་པའི་མཚོན་ཆ།.rtf,LM63c791.rtf
GRAM034_དྲི་ལན་ཁག་བཅུ།.rtf,LM307d59.rtf
GRAM011_སྡེ་བདུན་རབ་གསལ།.rtf,LM94b6ba.rtf
GRAM075_མཛོད་འགྲེལ་གཞུང་དོན་གསལ་བའི་ཉི་མ།.rtf,LM2de72d.rtf
GRAM039_ཀུན་རིག་གི་ཞི་བའི་སྦྱིན་སྲེག.rtf,LM4e9d88.rtf
GRAM070_རྒྱུད་སྡེ་བཞི་དང་འབྲེལ་བའི་ལྷག་པའི་ལྷ་སྤྱིའི་བསྙེན་ཐབས་དངོས་གྲུབ་བུམ་བཟང་།.rtf,LM876052.rtf
GRAM035_རྣལ་འབྱོར་ཆེན་པོའི་སྡོམ་པའི་གནད་བྱེ་བྲག་ཏུ་བཤད་པ.rtf,LM173481.rtf
GRAM062_ལམ་འབྲས་བླ་བརྒྱུད་ལ་ཡན་ལག་བདུན་པ་འབུལ་ཞིང་གསོལ་བ་གདབ་པ་སོགས་ཆོས་ཚན་བརྒྱད།.rtf,LMd61df4.rtf
GRAM008_གཞན་དོན་ལེའུ་.rtf,LM197d94.rtf
GRAM031_སྡོམ་པ་གསུམ་གྱི་རབ་ཏུ་དབྱེ་བའི་ཁ་སྐོང་.rtf,LM3c4ef1.rtf
GRAM025_འཁོར་འདས་རབ་གསལ་ལ།.rtf,LMaac999.rtf
GRAM004_རྟགས་འཇུག་གི་ཊཱིཀ་བཞུགས།.rtf,LMe1e973.rtf
GRAM053_གསུང་ངག་ལམ་འབྲས་དོན་བསྡུས་མའི་རྣམ་བཤད་ཟབ་དོན་གནད་ཀྱི་སྒྲོན་མེ།.rtf,LM57863d.rtf
GRAM043_་གསང་འདུས་འཇམ་པའི་རྡོ་རྗེའི་ཕྱི་རོལ་ཚོགས་བསག་གི་ཆོ་ག་མཎྜལ་ལ་བརྟེན་ཏེ་སྒྲུབ་ཅིང་.rtf,LM427236.rtf
GRAM044_གསང་བ་འདུས་པའི་རིམ་པ་ལྔའི་མན་ངག་གི་ཁྲིད་ཡིག་ཟུང་འཇུག་གསལ་བའི་སྒྲོན་མེ།.rtf,LMc2dbff.rtf
GRAM021_འགྲེལ་པ་དོན་གསལ་གྱི་ངག་དོན།.rtf,LM67d88f.rtf
GRAM001_དཀར་ཆགས།.rtf,LMb04b59.rtf
GRAM026_ཞེན་པ་བཞི་བྲལ་གྱི་ཁྲིད་ཡིག་.rtf,LM90ca85.rtf
GRAM020_སྦས་དོན་ཟབ་མོའི་གཏེར་གྱི་ཁ་འབྱེད།.rtf,LM65a749.rtf
GRAM009_ཚད་མ་རྣམ་འགྲེལ་གྱི་ངག་དོན་ཀུན་ཏུ་བཟང་པོའི་ཉི་མ།.rtf,LM40b42f.rtf
GRAM022_སྦས་དོན་རབ་གསལ་ལ།.rtf,LM1267a1.rtf
GRAM030_མདོ་རྒྱུད་ཀུན་གྱི་དོན་བསྡུས་སྙིང་པོ་ཡིད་ཀྱི་མུན་སེལ།.rtf,LMa35de0.rtf
GRAM058.rtf,LM1a0aed.rtf
GRAM036_ཟབ་དོན་བདུད་རྩིའི་ཉིང་ཁུ་འཆི་བ་མེད་པའི་གོ་འཕང་སྦྱིན་པའི་རྣམ་བཤད་.rtf,LMcc7ab3.rtf
GRAM061_ལམ་དུས་ཀྱི་དབང་བསྐུར་བ་སོགས་ཆོས་ཚན་ལྔ།.rtf,LMc020b7.rtf
GRAM032_སྡོམ་གསུམ་ཁ་སྐོང་གི་བསྡུས་དོན.rtf,LM88aa5d.rtf
GRAM056_ཀྱཻ་རྡོ་རྗེ་མན་ངག་ལུགས་ཀྱི་མཆོད་གཏོར་གྱི་རྣལ་འབྱོར་སོགས་ཆོས་ཚན་ལྔ།.rtf,LM5a7d00.rtf
GRAM057_རྗེ་བཙུན་རྡོ་རྗེ་བདག་མེད་མའི་མངོན་དཀྱིལ་གྱི་ཐོ་ཡིག.rtf,LM8972c0.rtf
GRAM006_ཚད་མ་གྲུབ་པའི་ལེའུ.rtf,LM23c31b.rtf
GRAM005_རྒྱས་པའི་བསྟན་བཅོས་ཚད་མ་རྣམ་འགྲེལ་གྱི་རྣམ་བཤད་ཀུན་ཏུ་བཟང་པོའི་འོད་ཟེར།.rtf,LMf1aa85.rtf
GRAM014_ཕུང་ཁམས་སྐྱེ་མཆེད་ཀྱི་རྣམ་གཞག.rtf,LM273866.rtf
GRAM052.rtf,LMfb146e.rtf
GRAM017_ལྟ་བའི་ཤན་འབྱེད་ཐེག་མཆོག་གནད་ཀྱི་ཟླ་ཟེར།.rtf,LMe3a505.rtf
GRAM076_མངོན་་རྟོགས་རྒྱན་གྱི་འགྲེལ་པ་དགོངས་དོན་རབ་གསལ.rtf,LM4c19af.rtf
GRAM007_མངོན་སུམ་ལེའུ།.rtf,LM53c697.rtf
GRAM024_སྙོམས་འཇུག་རབ་གསལ།.rtf,LMedda18.rtf
GRAM055_དཔལ་ཀྱཻ་རྡོ་རྗེའི་མངོན་པར་རྟོགས་པ་མན་ངག་གི་སྣང་བ།.rtf,LM18f7ed.rtf
GRAM066_དམ་ཚིག་རྣམ་བཤད་ཟབ་དོན་སྙིང་པོ་བསྡུས་པ།.rtf,LM6eb8df.rtf
GRAM051_མཁའ་སྤྱོད་སྒོ་འབྱེད་ཅེས་བྱ་བ།.rtf,LM1bad21.rtf
GRAM046_དཔལ་གསང་བ་འདུས་པའི་སྒྲུབ་ཐབས་ཀུན་ཏུ་བཟང་པོའི་ཉི་འོད་ཀྱི་དོན་འགྲེལ.rtf,LMb72d6d.rtf
GRAM027_སྡོམ་གསུམ་རབ་དབྱེའི་རྣམ་བཤད།.rtf,LM6220ce.rtf
GRAM029_སྡོམ་གསུམ་འཁྲུལ་སྤོང་།.rtf,LM1810fc.rtf
GRAM063_སྣང་བ་གསུམ་གྱི་སྐབས་སུ་ཉེ་བར་མཁོ་བའི་གསལ་བྱེད།.rtf,LM438536.rtf
GRAM047.rtf,LM24222a.rtf
GRAM060_མགོན་པོའི་སྲུང་འཁོར།.rtf,LM4fd68d.rtf
GRAM010_རིགས་གཏེར་གསལ་བྱེད།.rtf,LMafd2cb.rtf
GRAM059_རབ་གནས་ཆོ་ག་དགེ་ལེགས་རྒྱ་མཚོ།.rtf,LMe0151c.rtf
GRAM041_འཇམ་པའི་རྡོ་རྗེའི་སྒྲུབ་ཐབས་ཀུན་ཏུ་བཟང་པོའི་ཉི་འོད།.rtf,LM67e752.rtf
GRAM002_ཀུན་མཁྱེན་ཆེན་པོའི་བཀའ་འབུམ་གྱི་པོ་ཏི་ཐོག་མའི་སྐབས་ལས་བསྟོད་ཚོགས་ཀྱི་སྐོར།.rtf,LM154fed.rtf
GRAM072_ཀུན་མཁྱེན་བླ་མའི་གསུང་འབུམ་སྨོན་ལམ་གྱི་སྐོར་བཞུགས་སོ།།.rtf,LM44416c.rtf
GRAM016_དབུ་མ་སྤྱི་སྟོན།.rtf,LM54e718.rtf
GRAM023_ཞུགས་གནས་ཀྱི་རྣམ་གཞག་སྐྱེས་བུ་མཆོག་གི་གསལ་བྱེད་ལ།.rtf,LM8dd0a5.rtf
GRAM028-སྡོམ་གསུམ་རབ་དབྱེའི་སྤྱི་དོན་ཡིད་བཞིན་ནོར་བུ།.rtf,LM822ff1.rtf
GRAM048_དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག-.rtf,LMbf8e34.rtf
GRAM040_ཀུན་རིག་གི་ཆོ་ག་ལག་ཏུ་བླང་བའི་རིམ་པ་གཞན་ཕན་འོད་ཟེར་ལ་རྩོད་སྤོང་.rtf,LM95f8cb.rtf
GRAM003_ཕར་ཕྱིན་དང་ཚད་མ་བརྒྱུད་པའི་བླ་མ་ལ་མཆོད་བསྟོད་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ་བཞུགས།.rtf,LM9bf9e6.rtf
GRAM054_ལམ་འབྲས་བྱུང་ཚུལ་གསུང་ངག་བསྟན་པ་རྒྱས་པའི་ཉི་འོད་ཁ་སྐོང་དང་བཅས་པ།.rtf,LM937904.rtf
GRAM073_རིག་གཏེར་འགྲེལ་པ་རིགས་ལམ་རབ་གསལ།.rtf,LM0cad75.rtf
GRAM033_རྗེ་མུས་པ་ཆེན་པོའི་རྣམ་ཐར་ངོ་མཚར་རྒྱ་མཚོ.rtf,LMcf002e.rtf
GRAM037_འཇིག་རྟེན་དབང་ཕྱུག་གི་གཞུང་བཞི་ཉམས་སུ་ལེན་ཚུལ.rtf,LM2e9a44.rtf
GRAM015_རྩ་བ་ཤེས་རབ་ཀྱི་རྣམ་བཤད་ཡང་དག་ལྟ་བའི་འོད་ཟེར།.rtf,LM214f56.rtf
GRAM042.rtf,LM545504.rtf
GRAM013_མཛོད་ཀྱི་བཤད་ཐབས་ངོ་མཚར་གསུམ་ལྡན།.rtf,LM928180.rtf
GRAM068_དཔལ་ཀྱཻ་རྡོ་རྗེའི་ལུས་དཀྱིལ་གྱི་རྣམ་པར་བཤད་པ་བདེ་ཆེན་བཅུད་ཀྱི་སྙིང་པོ།.rtf,LMcd13b9.rtf
GRAM050.rtf,LMca7608.rtf
GRAM019_ཡུམ་དོན་རབ་གསལ།.rtf,LMbf279f.rtf
GRAMKRG.rtf,LM0d7c60.rtf
GRAM067_ཀྱེ་རྡོ་རྗེ་མན་ངག་ལུགས་ཀྱི་བསྐྱེད་རིམ།.rtf,LM478269.rtf
GRAM069_ཀྱེ་རྡོ་དབང་གི་རྣམ་བཤད་བདེ་ཆེན་རྒྱ་མཚོ།.rtf,LM85ccfa.rtf
KHAD038.rtf,LM7b3760.rtf
KHAD053.rtf,LM2040f0.rtf
KHAD046.rtf,LM9199d9.rtf
KHAD023.rtf,LMfa3e86.rtf
KHAD005.rtf,LMf775fa.rtf
KHAD016.rtf,LM7aebb1.rtf
KHAD010.rtf,LM4a2fed.rtf
KHAD035.rtf,LMa220fd.rtf
KHAD001.rtf,LM3f2c90.rtf
A KHADKRG.rtf,LM168850.rtf
KHAD047.rtf,LMb09c6e.rtf
KHAD058.rtf,LMb10985.rtf
KHAD002.rtf,LMb9ffe2.rtf
KHAD027.rtf,LM6c520f.rtf
KHAD025.rtf,LMcd3a2a.rtf
KHAD059.rtf,LM9393e4.rtf
KHAD013.rtf,LM82ab23.rtf
KHAD020.rtf,LM71f308.rtf
KHAD036.rtf,LM8f9801.rtf
KHAD048.rtf,LMc2bd79.rtf
KHAD056.rtf,LMe60a90.rtf
KHAD044.rtf,LM7d5fd4.rtf
KHAD017.rtf,LM880737.rtf
KHAD012.rtf,LMf93c0c.rtf
KHAD040.rtf,LMbbde0f.rtf
KHAD061.rtf,LM04abac.rtf
KHAD045.rtf,LMe5fcc1.rtf
KHAD057.rtf,LM2101ae.rtf
KHAD022.rtf,LMf5dd14.rtf
KHAD049.rtf,LMa5cdb2.rtf
KHAD026.rtf,LM030d7e.rtf
KHAD014.rtf,LMcc80ed.rtf
KHAD039.rtf,LMcfb881.rtf
KHAD062.rtf,LM1f35be.rtf
KHAD019.rtf,LMd781b0.rtf
KHAD060.rtf,LM4fa1b5.rtf
KHAD051.rtf,LMaae0b2.rtf
KHAD008.rtf,LM92526e.rtf
རྣམ་འཇོམས་སྒྲུབ་ཐབས།.pages,LM2e9529.pages
KHAD011.rtf,LM5a4a9a.rtf
KHAD006.rtf,LM2f3d20.rtf
KHAD050.rtf,LMc34229.rtf
KHAD007.rtf,LMac98bf.rtf
KHAD029.rtf,LM103346.rtf
